pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2,pl_density,pl_rade,pl_bmasse,mu,H,delta,snr
Kepler-282,b,2014,284.677277,44.797684000000004,0.00010560169441850946,2454971.05444,0.025230000000000002,-0.025230000000000002,1,0.202,4,0,1,Kepler,90.0,,,,0.9290909090909091,,,0.9,0.21,-0.21,5602.0,155.0,-155.0,15.204,14.08,13.718,0.082,,,0.09,0.022000000000000002,-0.022000000000000002,0.00317,,,894.9334289694096,9.220524,0.000341,-0.000341,,,,5.392744160357425,1.0088082657844812,1.0075160489051191,32.0,23.797772867841736,3.941889886856486e-06,0.0014847332142426761
Kepler-282,c,2014,284.677277,44.797684000000004,0.00014926343202438454,2454974.77809,0.02213,-0.02213,1,0.2322,4,0,1,Kepler,90.0,,,,0.9290909090909091,,,0.9,0.21,-0.21,5602.0,155.0,-155.0,15.204,14.08,13.718,0.106,,,0.107,0.026000000000000002,-0.026000000000000002,0.00588,,,787.1268452088214,13.638723,0.000491,-0.000491,,,,5.952564038949632,1.1993609382104389,1.8688310307766878,32.0,15.949783095902681,3.1284188896490972e-06,0.001178335155686026
Kepler-282,d,2013,284.677277,44.797684000000004,0.0006252793661735963,,,,1,0.045326252067907614,4,0,1,Kepler,90.0,,,,0.9290909090909091,,,0.9,0.21,-0.21,5602.0,155.0,-155.0,15.204,14.08,13.718,0.7473512675103441,,,0.21899999999999997,0.08900000000000001,-0.018000000000000002,0.192,0.113,-0.114,296.4389520565963,24.806,,,,,,22.669762355793427,2.4547667800755706,61.02305406617756,32.0,0.7706232327497214,3.0779961370007783e-07,6.991102330744917e-05
Kepler-282,e,2013,284.677277,44.797684000000004,0.0010003348655602234,,,,1,0.05536661323018027,4,0,1,Kepler,90.0,,,,0.9290909090909091,,,0.9,0.21,-0.21,5602.0,155.0,-155.0,15.204,14.08,13.718,1.1008541393490088,,,0.27699999999999997,0.11199999999999999,-0.022000000000000002,0.177,0.051,-0.053,244.2489847238279,44.347,,,,,,10.32790043434649,3.104887662470014,56.25562796725743,32.0,1.1018915854519808,5.566823667074901e-07,0.00013898836038348422
Kepler-283,b,2014,293.613726,47.838998,0.0011733521602056611,2454976.22626,0.0014199999999999998,-0.0014199999999999998,1,0.087,2,0,1,Kepler,90.0,,,,0.6117857142857143,,,0.57,0.02,-0.02,4351.0,100.0,-100.0,15.847000000000001,13.927,13.263,0.082,,,0.19,0.023,-0.023,0.0163,,,651.0,11.008151,2.9e-05,-2.9e-05,,,,2.947167944590941,2.1297063388783495,5.1806030274931985,2.0,240.07138414000323,0.000216538409917485,0.08396259002516965
Kepler-283,c,2014,293.613726,47.838998,0.0008530042684885698,2455006.31145,0.0073,-0.0073,1,0.2616,2,0,1,Kepler,90.0,,,,0.6117857142857143,,,0.57,0.02,-0.02,4351.0,100.0,-100.0,15.847000000000001,13.927,13.263,0.341,,,0.162,0.011000000000000001,-0.011000000000000001,0.0125,,,271.2580400389059,92.743711,0.001413,-0.001413,,,,3.646221543083726,1.8158548784120663,3.972855082433435,2.0,94.82927841186336,7.127238195516025e-05,0.033102836493226775
Kepler-284,b,2014,293.146491,47.729649,0.0006438146283707329,2455017.98515,0.00361,-0.00361,1,0.1175,2,0,1,Kepler,90.0,,,,0.8476470588235294,,,0.81,0.36,-0.36,5615.0,200.0,-200.0,15.824000000000002,14.559000000000001,14.155,0.104,,,0.2,0.087,-0.087,0.0178,,,755.6294889431668,12.699149,7.1e-05,-7.1e-05,,,,2.759358311263013,2.241796146187736,5.657345637385212,2.0,282.7409400357216,0.00013360353728036304,0.03988281180161042
Kepler-339,b,2014,293.351712,48.444641,0.00026613277019939675,2454967.67151,0.00227,-0.00227,1,0.1064,3,0,1,Kepler,90.0,,,,0.8417647058823529,,,0.8,0.36,-0.36,5631.0,200.0,-200.0,14.530999999999999,13.28,12.895,0.055,,,0.127,0.059000000000000004,-0.059000000000000004,0.008190000000000001,,,1035.5771851688826,4.977656,1.9e-05,-1.9e-05,,,,4.958505761630237,1.4235405528292124,2.603014650010387,2.0,339.5829090491273,0.00010884360434938663,0.055165669885729754
Kepler-339,c,2014,293.351712,48.444641,0.00017505130876343232,2454965.5611,0.00446,-0.00446,1,0.1313,3,0,1,Kepler,90.0,,,,0.8417647058823529,,,0.8,0.36,-0.36,5631.0,200.0,-200.0,14.530999999999999,13.28,12.895,0.069,,,0.10300000000000001,0.046,-0.046,0.023,0.025,-0.02,924.5688839005996,6.988055,5.3e-05,-5.3e-05,,,,26.103229710355425,1.1545250152866842,7.31005335167752,32.0,4.438188199624351,1.0566479154748912e-06,0.0005813989406933234
Kepler-339,d,2014,293.351712,48.444641,0.000178466863567281,2454969.34663,0.0045,-0.0045,1,0.1421,3,0,1,Kepler,90.0,,,,0.8417647058823529,,,0.8,0.36,-0.36,5631.0,200.0,-200.0,14.530999999999999,13.28,12.895,0.091,,,0.10400000000000001,0.047,-0.047,0.046,0.044,-0.031,805.087571882212,10.558345,8.1e-05,-8.1e-05,,,,50.71493779107081,1.165733996017623,14.62010670335504,32.0,1.970025270474738,4.7317978684255227e-07,0.000260357516253757
